,confidence,label,sentences_highlight
item_7,0.9807916207703444,neutral,"{'positive': [(15912, 16092), (16093, 16425), (8182, 8348), (17345, 17665), (8349, 8565), (8566, 8731), (11262, 11356), (17119, 17344), (19228, 19322), (16535, 16791)], 'negative': [(19515, 19614), (9938, 10049), (19746, 19848), (16956, 17118), (18895, 19060), (10974, 11140), (9475, 9718), (1635, 1932), (13072, 13241), (3295, 3509)]}"
item_7A,0.9996105283498764,neutral,"{'positive': [], 'negative': [(650, 807), (69, 166)]}"
item_9,0.9998714129130045,neutral,"{'positive': [], 'negative': [(8, 93)]}"
item_9A,0.9966819187005361,neutral,"{'positive': [], 'negative': [(2142, 2424)]}"
item_9B,0.9998738368352255,neutral,"{'positive': [], 'negative': []}"
