,confidence,label,sentences_highlight
item_7,0.9838152842741485,neutral,"{'positive': [(12758, 12948), (8375, 8539), (10287, 10450), (10139, 10286), (11906, 12179), (13960, 14167), (12604, 12757), (14357, 14563), (15453, 15601), (10694, 10870)], 'negative': [(14895, 15086), (16290, 16446), (28358, 28553), (21200, 21485), (28554, 28861), (16742, 16981), (23326, 23608), (23609, 23919), (9720, 9976), (20810, 21199)]}"
item_7A,0.9163665493329366,neutral,"{'positive': [(1148, 1362)], 'negative': [(1877, 2082), (1558, 1876), (1047, 1147)]}"
item_9,0.9998770952224731,neutral,"{'positive': [], 'negative': []}"
item_9A,0.9998341287885394,neutral,"{'positive': [], 'negative': []}"
item_9B,0.9543397054076195,neutral,"{'positive': [(1584, 1876), (211, 685), (686, 1163)], 'negative': []}"
