,CIK,accession_no,xbrl_tag_name,unitref,FilingDate,FormType,value,source
33200,1725579,0001725579-19-000023,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,usd,2019-05-01,10-Q,2133000,xbrl
33201,1725579,0001725579-19-000023,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,usd,2019-05-01,10-Q,7050000,xbrl
33202,1725579,0001725579-19-000043,us-gaap:AssetsCurrent,usd,2019-07-31,10-Q,624950000,xbrl
33203,1725579,0001725579-19-000043,us-gaap:CashAndCashEquivalentsAtCarryingValue,usd,2019-07-31,10-Q,260313000,xbrl
33204,1725579,0001725579-19-000043,us-gaap:GeneralAndAdministrativeExpense,usd,2019-07-31,10-Q,6554000,xbrl
33205,1725579,0001725579-19-000043,us-gaap:GrossProfit,usd,2019-07-31,10-Q,72440000,xbrl
33206,1725579,0001725579-19-000043,us-gaap:Liabilities,usd,2019-07-31,10-Q,756830000,xbrl
33207,1725579,0001725579-19-000043,us-gaap:LiabilitiesCurrent,usd,2019-07-31,10-Q,221551000,xbrl
33208,1725579,0001725579-19-000043,us-gaap:LongTermDebt,usd,2019-07-31,10-Q,487915000,xbrl
33209,1725579,0001725579-19-000043,us-gaap:NetIncomeLoss,usd,2019-07-31,10-Q,330000,xbrl
33210,1725579,0001725579-19-000043,us-gaap:OperatingExpenses,usd,2019-07-31,10-Q,95381000,xbrl
33211,1725579,0001725579-19-000043,us-gaap:OperatingIncomeLoss,usd,2019-07-31,10-Q,518000,xbrl
33212,1725579,0001725579-19-000043,us-gaap:PaymentsToAcquireBusinessesNetOfCashAcquired,usd,2019-07-31,10-Q,163871000,xbrl
33213,1725579,0001725579-19-000043,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,usd,2019-07-31,10-Q,4590000,xbrl
33214,1725579,0001725579-19-000043,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,usd,2019-07-31,10-Q,9563000,xbrl
33215,1725579,0001725579-19-000043,us-gaap:Revenues,usd,2019-07-31,10-Q,53572000,xbrl
33216,1725579,0001725579-19-000043,us-gaap:ShortTermInvestments,usd,2019-07-31,10-Q,276818000,xbrl
33217,1725579,0001725579-19-000056,us-gaap:AssetsCurrent,usd,2019-10-30,10-Q,542266000,xbrl
33218,1725579,0001725579-19-000056,us-gaap:CashAndCashEquivalentsAtCarryingValue,usd,2019-10-30,10-Q,208626000,xbrl
33219,1725579,0001725579-19-000056,us-gaap:GeneralAndAdministrativeExpense,usd,2019-10-30,10-Q,8974000,xbrl
33220,1725579,0001725579-19-000056,us-gaap:GrossProfit,usd,2019-10-30,10-Q,64795000,xbrl
33221,1725579,0001725579-19-000056,us-gaap:Liabilities,usd,2019-10-30,10-Q,752740000,xbrl
33222,1725579,0001725579-19-000056,us-gaap:LiabilitiesCurrent,usd,2019-10-30,10-Q,231116000,xbrl
33223,1725579,0001725579-19-000056,us-gaap:LongTermDebt,usd,2019-10-30,10-Q,463656000,xbrl
33224,1725579,0001725579-19-000056,us-gaap:NetIncomeLoss,usd,2019-10-30,10-Q,1641000,xbrl
33225,1725579,0001725579-19-000056,us-gaap:OperatingExpenses,usd,2019-10-30,10-Q,80587000,xbrl
33226,1725579,0001725579-19-000056,us-gaap:OperatingIncomeLoss,usd,2019-10-30,10-Q,2353000,xbrl
33227,1725579,0001725579-19-000056,us-gaap:PaymentsToAcquireBusinessesNetOfCashAcquired,usd,2019-10-30,10-Q,163771000,xbrl
33228,1725579,0001725579-19-000056,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,usd,2019-10-30,10-Q,7619000,xbrl
33229,1725579,0001725579-19-000056,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,usd,2019-10-30,10-Q,8437000,xbrl
33230,1725579,0001725579-19-000056,us-gaap:ShortTermInvestments,usd,2019-10-30,10-Q,328602000,xbrl
33231,1725579,0001725579-20-000008,us-gaap:AssetsCurrent,usd,2020-02-25,10-K,"556,830",xbrl
33232,1725579,0001725579-20-000008,us-gaap:CashAndCashEquivalentsAtCarryingValue,usd,2020-02-25,10-K,"90,515",xbrl
33233,1725579,0001725579-20-000008,us-gaap:GeneralAndAdministrativeExpense,usd,2020-02-25,10-K,"85,560",xbrl
33234,1725579,0001725579-20-000008,us-gaap:GrossProfit,usd,2020-02-25,10-K,"69,802",xbrl
33235,1725579,0001725579-20-000008,us-gaap:Liabilities,usd,2020-02-25,10-K,"785,793",xbrl
33236,1725579,0001725579-20-000008,us-gaap:LiabilitiesCurrent,usd,2020-02-25,10-K,"283,901",xbrl
33237,1725579,0001725579-20-000008,us-gaap:LongTermDebt,usd,2020-02-25,10-K,"470,228",xbrl
33238,1725579,0001725579-20-000008,us-gaap:NetIncomeLoss,usd,2020-02-25,10-K,"97,113",xbrl
33239,1725579,0001725579-20-000008,us-gaap:OperatingExpenses,usd,2020-02-25,10-K,"95,440",xbrl
33240,1725579,0001725579-20-000008,us-gaap:OperatingIncomeLoss,usd,2020-02-25,10-K,87,xbrl
