,CIK,accession_no,xbrl_tag_name,unitref,FilingDate,FormType,value,source
33000,1724570,0001724570-21-000064,us-gaap:ResearchAndDevelopmentExpense,usd,2021-11-10,10-Q,"76,690",xbrl
33001,1724570,0001724570-21-000064,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,usd,2021-11-10,10-Q,950,xbrl
33002,1724570,0001724570-22-000011,us-gaap:AssetsCurrent,usd,2022-02-23,10-K,"309,967",xbrl
33003,1724570,0001724570-22-000011,us-gaap:CashAndCashEquivalentsAtCarryingValue,usd,2022-02-23,10-K,"221,421",xbrl
33005,1724570,0001724570-22-000011,us-gaap:DepreciationAndAmortization,usd,2022-02-23,10-K,"27,417",xbrl
33006,1724570,0001724570-22-000011,us-gaap:GeneralAndAdministrativeExpense,usd,2022-02-23,10-K,"85,668",xbrl
33007,1724570,0001724570-22-000011,us-gaap:GrossProfit,usd,2022-02-23,10-K,"442,309",xbrl
33008,1724570,0001724570-22-000011,us-gaap:Liabilities,usd,2022-02-23,10-K,"150,249",xbrl
33009,1724570,0001724570-22-000011,us-gaap:LiabilitiesCurrent,usd,2022-02-23,10-K,"89,906",xbrl
33010,1724570,0001724570-22-000011,us-gaap:NetIncomeLoss,usd,2022-02-23,10-K,"51,434",xbrl
33011,1724570,0001724570-22-000011,us-gaap:OperatingExpenses,usd,2022-02-23,10-K,"380,105",xbrl
33012,1724570,0001724570-22-000011,us-gaap:OperatingIncomeLoss,usd,2022-02-23,10-K,"62,204",xbrl
33013,1724570,0001724570-22-000011,us-gaap:PaymentsToAcquireBusinessesNetOfCashAcquired,usd,2022-02-23,10-K,"45,486",xbrl
33014,1724570,0001724570-22-000011,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,usd,2022-02-23,10-K,"47,237",xbrl
33015,1724570,0001724570-22-000011,us-gaap:ResearchAndDevelopmentExpense,usd,2022-02-23,10-K,"78,932",xbrl
33016,1724570,0001724570-22-000011,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,usd,2022-02-23,10-K,"90,852",xbrl
