,CIK,accession_no,xbrl_tag_name,unitref,FilingDate,FormType,value,source
32923,1724570,0001193125-20-301472,us-gaap:AssetsCurrent,Unit_USD,2020-11-23,10-Q,82707000,xbrl
32924,1724570,0001193125-20-301472,us-gaap:CashAndCashEquivalentsAtCarryingValue,Unit_USD,2020-11-23,10-Q,98614000,xbrl
32926,1724570,0001193125-20-301472,us-gaap:DepreciationAndAmortization,Unit_USD,2020-11-23,10-Q,6820000,xbrl
32927,1724570,0001193125-20-301472,us-gaap:DepreciationDepletionAndAmortization,Unit_USD,2020-11-23,10-Q,19615000,xbrl
32928,1724570,0001193125-20-301472,us-gaap:GeneralAndAdministrativeExpense,Unit_USD,2020-11-23,10-Q,59389000,xbrl
32929,1724570,0001193125-20-301472,us-gaap:GrossProfit,Unit_USD,2020-11-23,10-Q,94805000,xbrl
32930,1724570,0001193125-20-301472,us-gaap:Liabilities,Unit_USD,2020-11-23,10-Q,684330000,xbrl
32931,1724570,0001193125-20-301472,us-gaap:LiabilitiesCurrent,Unit_USD,2020-11-23,10-Q,79712000,xbrl
32932,1724570,0001193125-20-301472,us-gaap:NetIncomeLoss,Unit_USD,2020-11-23,10-Q,8767000,xbrl
32933,1724570,0001193125-20-301472,us-gaap:OperatingExpenses,Unit_USD,2020-11-23,10-Q,64219000,xbrl
32934,1724570,0001193125-20-301472,us-gaap:OperatingIncomeLoss,Unit_USD,2020-11-23,10-Q,60581000,xbrl
32935,1724570,0001193125-20-301472,us-gaap:PaymentsToAcquireBusinessesNetOfCashAcquired,Unit_USD,2020-11-23,10-Q,4400000,xbrl
32936,1724570,0001193125-20-301472,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,Unit_USD,2020-11-23,10-Q,28519000,xbrl
32937,1724570,0001193125-20-301472,us-gaap:ResearchAndDevelopmentExpense,Unit_USD,2020-11-23,10-Q,48000000,xbrl
32938,1724570,0001193125-20-301472,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,Unit_USD,2020-11-23,10-Q,950000,xbrl
32939,1724570,0001724570-21-000015,us-gaap:AssetsCurrent,usd,2021-03-11,10-K,"82,707",xbrl
32940,1724570,0001724570-21-000015,us-gaap:CashAndCashEquivalentsAtCarryingValue,usd,2021-03-11,10-K,"27,597",xbrl
32942,1724570,0001724570-21-000015,us-gaap:DepreciationAndAmortization,usd,2021-03-11,10-K,"28,953",xbrl
32943,1724570,0001724570-21-000015,us-gaap:GeneralAndAdministrativeExpense,usd,2021-03-11,10-K,"85,668",xbrl
32944,1724570,0001724570-21-000015,us-gaap:GrossProfit,usd,2021-03-11,10-K,"96,183",xbrl
32945,1724570,0001724570-21-000015,us-gaap:Liabilities,usd,2021-03-11,10-K,"649,989",xbrl
32946,1724570,0001724570-21-000015,us-gaap:LiabilitiesCurrent,usd,2021-03-11,10-K,"79,712",xbrl
32947,1724570,0001724570-21-000015,us-gaap:NetIncomeLoss,usd,2021-03-11,10-K,"8,767",xbrl
32948,1724570,0001724570-21-000015,us-gaap:OperatingExpenses,usd,2021-03-11,10-K,"95,796",xbrl
32949,1724570,0001724570-21-000015,us-gaap:OperatingIncomeLoss,usd,2021-03-11,10-K,"8,418",xbrl
32950,1724570,0001724570-21-000015,us-gaap:PaymentsToAcquireBusinessesNetOfCashAcquired,usd,2021-03-11,10-K,4.4,xbrl
32951,1724570,0001724570-21-000015,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,usd,2021-03-11,10-K,"40,466",xbrl
32952,1724570,0001724570-21-000015,us-gaap:ResearchAndDevelopmentExpense,usd,2021-03-11,10-K,"78,932",xbrl
32953,1724570,0001724570-21-000015,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,usd,2021-03-11,10-K,"99,863",xbrl
32954,1724570,0001724570-21-000027,us-gaap:AssetsCurrent,usd,2021-05-12,10-Q,"226,486",xbrl
32955,1724570,0001724570-21-000027,us-gaap:CashAndCashEquivalentsAtCarryingValue,usd,2021-05-12,10-Q,"43,836",xbrl
32957,1724570,0001724570-21-000027,us-gaap:DepreciationAndAmortization,usd,2021-05-12,10-Q,"6,917",xbrl
32958,1724570,0001724570-21-000027,us-gaap:DepreciationDepletionAndAmortization,usd,2021-05-12,10-Q,"7,461",xbrl
32959,1724570,0001724570-21-000027,us-gaap:GeneralAndAdministrativeExpense,usd,2021-05-12,10-Q,"24,621",xbrl
32960,1724570,0001724570-21-000027,us-gaap:GrossProfit,usd,2021-05-12,10-Q,"87,248",xbrl
32961,1724570,0001724570-21-000027,us-gaap:Liabilities,usd,2021-05-12,10-Q,"151,543",xbrl
32962,1724570,0001724570-21-000027,us-gaap:LiabilitiesCurrent,usd,2021-05-12,10-Q,"81,108",xbrl
32963,1724570,0001724570-21-000027,us-gaap:NetIncomeLoss,usd,2021-05-12,10-Q,"15,286",xbrl
32964,1724570,0001724570-21-000027,us-gaap:OperatingExpenses,usd,2021-05-12,10-Q,"85,591",xbrl
32965,1724570,0001724570-21-000027,us-gaap:OperatingIncomeLoss,usd,2021-05-12,10-Q,"9,857",xbrl
32966,1724570,0001724570-21-000027,us-gaap:PaymentsToAcquireBusinessesNetOfCashAcquired,usd,2021-05-12,10-Q,"45,486",xbrl
32967,1724570,0001724570-21-000027,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,usd,2021-05-12,10-Q,"13,920",xbrl
32968,1724570,0001724570-21-000027,us-gaap:ResearchAndDevelopmentExpense,usd,2021-05-12,10-Q,"22,474",xbrl
32969,1724570,0001724570-21-000027,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,usd,2021-05-12,10-Q,934,xbrl
32970,1724570,0001724570-21-000049,us-gaap:AssetsCurrent,usd,2021-08-11,10-Q,"251,248",xbrl
32971,1724570,0001724570-21-000049,us-gaap:CashAndCashEquivalentsAtCarryingValue,usd,2021-08-11,10-Q,"59,550",xbrl
32973,1724570,0001724570-21-000049,us-gaap:DepreciationAndAmortization,usd,2021-08-11,10-Q,"6,863",xbrl
32974,1724570,0001724570-21-000049,us-gaap:DepreciationDepletionAndAmortization,usd,2021-08-11,10-Q,"15,389",xbrl
32975,1724570,0001724570-21-000049,us-gaap:GeneralAndAdministrativeExpense,usd,2021-08-11,10-Q,"51,106",xbrl
32976,1724570,0001724570-21-000049,us-gaap:GrossProfit,usd,2021-08-11,10-Q,"90,345",xbrl
32977,1724570,0001724570-21-000049,us-gaap:Liabilities,usd,2021-08-11,10-Q,"150,686",xbrl
32978,1724570,0001724570-21-000049,us-gaap:LiabilitiesCurrent,usd,2021-08-11,10-Q,"81,188",xbrl
32979,1724570,0001724570-21-000049,us-gaap:NetIncomeLoss,usd,2021-08-11,10-Q,"8,767",xbrl
32980,1724570,0001724570-21-000049,us-gaap:OperatingExpenses,usd,2021-08-11,10-Q,"92,417",xbrl
32981,1724570,0001724570-21-000049,us-gaap:OperatingIncomeLoss,usd,2021-08-11,10-Q,"37,039",xbrl
32982,1724570,0001724570-21-000049,us-gaap:PaymentsToAcquireBusinessesNetOfCashAcquired,usd,2021-08-11,10-Q,"45,486",xbrl
32983,1724570,0001724570-21-000049,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,usd,2021-08-11,10-Q,"22,000",xbrl
32984,1724570,0001724570-21-000049,us-gaap:ResearchAndDevelopmentExpense,usd,2021-08-11,10-Q,"49,818",xbrl
32985,1724570,0001724570-21-000049,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,usd,2021-08-11,10-Q,"91,486",xbrl
32986,1724570,0001724570-21-000064,us-gaap:AssetsCurrent,usd,2021-11-10,10-Q,"281,950",xbrl
32987,1724570,0001724570-21-000064,us-gaap:CashAndCashEquivalentsAtCarryingValue,usd,2021-11-10,10-Q,"98,614",xbrl
32989,1724570,0001724570-21-000064,us-gaap:DepreciationAndAmortization,usd,2021-11-10,10-Q,"6,820",xbrl
32990,1724570,0001724570-21-000064,us-gaap:DepreciationDepletionAndAmortization,usd,2021-11-10,10-Q,"23,368",xbrl
32991,1724570,0001724570-21-000064,us-gaap:GeneralAndAdministrativeExpense,usd,2021-11-10,10-Q,"78,908",xbrl
32992,1724570,0001724570-21-000064,us-gaap:GrossProfit,usd,2021-11-10,10-Q,"94,805",xbrl
32993,1724570,0001724570-21-000064,us-gaap:Liabilities,usd,2021-11-10,10-Q,"149,691",xbrl
32994,1724570,0001724570-21-000064,us-gaap:LiabilitiesCurrent,usd,2021-11-10,10-Q,"81,721",xbrl
32995,1724570,0001724570-21-000064,us-gaap:NetIncomeLoss,usd,2021-11-10,10-Q,"8,767",xbrl
32996,1724570,0001724570-21-000064,us-gaap:OperatingExpenses,usd,2021-11-10,10-Q,"96,378",xbrl
32997,1724570,0001724570-21-000064,us-gaap:OperatingIncomeLoss,usd,2021-11-10,10-Q,"60,581",xbrl
32998,1724570,0001724570-21-000064,us-gaap:PaymentsToAcquireBusinessesNetOfCashAcquired,usd,2021-11-10,10-Q,"45,486",xbrl
32999,1724570,0001724570-21-000064,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,usd,2021-11-10,10-Q,"32,170",xbrl
